Bikes, EPFL, 31.9481, 0.9436
Bench_in_Paris, EPFL, 26.1515, 0.9127
Fountain_&_Bench, EPFL, 28.0389, 0.8612
Friends_1, EPFL, 36.2296, 0.9596
Sphynx, EPFL, 31.1417, 0.8856
Bee_2, INRIA, 33.2253, 0.9225
Duck, INRIA, 27.5730, 0.9220
Fruits, INRIA, 30.1357, 0.9118
Rose, INRIA, 35.8498, 0.9332
Mini, INRIA, 31.2453, 0.8908
Chess, STANFORD, 31.0149, 0.9360
Bunny, STANFORD, 36.0292, 0.9683
Lego Bulldozer, STANFORD, 25.9527, 0.8614
Lego Truck, STANFORD, 33.2917, 0.9467
Lego Knights, STANFORD, 27.6817, 0.8714
