Bikes, EPFL, 31.2818, 0.9420
Bench_in_Paris, EPFL, 25.4447, 0.9002
Fountain_&_Bench, EPFL, 31.2798, 0.9346
Friends_1, EPFL, 34.5709, 0.9507
Sphynx, EPFL, 30.6597, 0.8810
Bee_2, INRIA, 35.2036, 0.9532
Duck, INRIA, 27.2889, 0.9363
Fruits, INRIA, 33.0800, 0.9440
Rose, INRIA, 38.0768, 0.9568
Mini, INRIA, 30.5371, 0.8766
Chess, STANFORD, 32.6200, 0.9581
Bunny, STANFORD, 34.8874, 0.9650
Lego Bulldozer, STANFORD, 28.9114, 0.9263
Lego Truck, STANFORD, 33.0472, 0.9431
Lego Knights, STANFORD, 29.9708, 0.9279
