Bikes, EPFL, 27.5502, 0.8654
Bench_in_Paris, EPFL, 22.4296, 0.7944
Fountain_&_Bench, EPFL, 27.3700, 0.8396
Friends_1, EPFL, 31.1695, 0.9044
Sphynx, EPFL, 27.6533, 0.7732
Bee_2, INRIA, 31.0187, 0.9102
Duck, INRIA, 23.3499, 0.8419
Fruits, INRIA, 28.7401, 0.8632
Rose, INRIA, 34.0538, 0.8992
Mini, INRIA, 27.3024, 0.7699
Chess, STANFORD, 30.0411, 0.9177
Bunny, STANFORD, 32.9051, 0.9351
Lego Bulldozer, STANFORD, 26.2107, 0.8562
Lego Truck, STANFORD, 30.2639, 0.8942
Lego Knights, STANFORD, 27.2845, 0.8601
