Bikes, EPFL, 29.7463, 0.8958
Bench_in_Paris, EPFL, 23.4895, 0.8335
Fountain_&_Bench, EPFL, 28.2039, 0.8583
Friends_1, EPFL, 33.1501, 0.9216
Sphynx, EPFL, 28.7535, 0.7956
Bee_2, INRIA, 32.6324, 0.9233
Duck, INRIA, 24.5239, 0.8773
Fruits, INRIA, 29.9543, 0.8871
Rose, INRIA, 34.7723, 0.9091
Mini, INRIA, 28.5666, 0.8003
Chess, STANFORD, 31.2583, 0.9353
Bunny, STANFORD, 35.1889, 0.9462
Lego Bulldozer, STANFORD, 27.5777, 0.8789
Lego Truck, STANFORD, 31.2399, 0.9137
Lego Knights, STANFORD, 28.6436, 0.8865
