Bikes, EPFL, 26.8541, 0.8568
Bench_in_Paris, EPFL, 22.5255, 0.8008
Fountain_&_Bench, EPFL, 26.9853, 0.8336
Friends_1, EPFL, 30.7079, 0.9003
Sphynx, EPFL, 26.9123, 0.7699
Bee_2, INRIA, 30.3308, 0.8923
Duck, INRIA, 22.9447, 0.8286
Fruits, INRIA, 28.1218, 0.8504
Rose, INRIA, 33.3579, 0.8840
Mini, INRIA, 27.3664, 0.7652
Chess, STANFORD, 28.4947, 0.8945
Bunny, STANFORD, 28.8427, 0.9041
Lego Bulldozer, STANFORD, 23.8484, 0.8125
Lego Truck, STANFORD, 27.8382, 0.8560
Lego Knights, STANFORD, 24.1818, 0.7975
