Bikes, EPFL, 22.7223, 0.8018
Bench_in_Paris, EPFL, 20.7703, 0.7634
Fountain_&_Bench, EPFL, 24.4055, 0.7886
Friends_1, EPFL, 28.0116, 0.8711
Sphynx, EPFL, 24.7170, 0.7365
Bee_2, INRIA, 26.7414, 0.8566
Duck, INRIA, 20.7694, 0.7887
Fruits, INRIA, 25.2744, 0.8161
Rose, INRIA, 30.8324, 0.8469
Mini, INRIA, 25.2947, 0.7330
Chess, STANFORD, 25.8227, 0.8629
Bunny, STANFORD, 26.3298, 0.8704
Lego Bulldozer, STANFORD, 25.2352, 0.8551
Lego Truck, STANFORD, 27.8949, 0.8682
Lego Knights, STANFORD, 21.5931, 0.7433
